Product Name;Variations;Rating;Username;Date;Review;Untruthful Opinion Pelabel 1;Untruthful Opinion Pelabel 2;Untruthful Opinion Pelabel 3;Non-Reviews Pelabel 1;Non-Reviews Pelabel 2;Non-Reviews Pelabel 3;Review Length;Burstiness;Maximum Content Similarity;Label Final
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;1;0*****3;2023-12-19;Pas di pake malahan panas+berat di bibir;0;0;0;0;0;0;1;0;0;Asli
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;2;0c1f0hvpr2;2023-12-18;Kasi bintang 2 dulu karna blm di coba. Nanti klu saya sudah pakai trus betul2 bermanfaat baru beli lagi 🙏;1;1;1;1;1;1;0;0;0;Asli
Kikir Kuku Kaca + Box / Pengkilat Kuku Instant Tanpa Ke Salon Glass Nail Polish File;Variasi: KIKIR KACA + BOX;2;0tff36y8l3;2023-12-19;Lumayan;1;1;1;1;1;1;1;0;1;Palsu
(BISACOD) AMPUH! Krim Herbal China Menghaluskan Melembutkan Kaki dan Tangan Kapalan Pecah Kasar Kering 55gr & 33gr;Variasi: 55gr;2;11f3ft6dos;2023-12-24;Lama di pengemasan, hampir satu Minggu,beda sama toko sebelah cream buat kaki nya lebih lembut,yg ini mah B aja;0;0;0;0;1;0;0;0;0;Asli
Ready Jkt - Her Dragon Ranee Lip Gloss Moisturizing Lip Glow Mate Lipstick CINDYNAL;Variasi: 05;2;3ux85iohz1;2023-12-29;lembut dan harum;1;1;1;0;0;1;1;0;0;Asli
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;1;91sxu4zldr;2023-12-24;kualitasnya tidak seperti biasanya;0;0;0;0;1;1;1;0;0;Asli
LAMEILA SVMY 3088 Sunscreen Cream Pelindung Sinar Matahari/Sunblock;None;2;9uen0zpsl_;2023-12-19;bagus, tp ga ccok sma muka sya shabis pke ss lngsung pd gatel🥺;0;0;1;0;0;0;0;0;0;Asli
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;2;a*****a;2023-12-31;kirain vaseline, lupa baca nama. trnyta cindynal wkk;1;1;1;1;1;1;1;0;0;Palsu
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;a9qd2fkrqr;2023-12-31;Ok barang sampe;1;1;1;1;1;1;1;0;0;Palsu
CINDYNAL Black Mask BPOM Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;2;adingsurajat87;2023-12-14;Belum dicoba;1;1;1;1;1;1;1;0;1;Palsu
Lameila 1002 Colour Geometry Face Stick Contour Duo Cocealer 109 Stick;Variasi: 02 IVORY;2;adisupriatnaadi;2023-12-30;Gak amanah banget yg di pesen apa yg datang apa 😒😒;0;0;0;0;0;0;1;0;0;Asli
CINDYNAL x LANEIGE Lip Sleeping Mask Berry Pelembab Bibir 3g;Variasi: BERRY;1;afiyahputrii_;2023-12-23;cilik bgt , krg memuaskan;0;0;0;0;0;0;1;0;0;Asli
50G Krim pemutih Dragon's Blood Cream Alami Menghilangkan Keriput Pemutih / Pencerah / Pelembap & Pengencang- Dragon Blood Cream;Variasi: CREAM DRAGON BLOOD;1;ai_sartika97;2023-12-28;Terima kasih atas pesanan nyh udah saya terima;0;0;1;1;1;1;1;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 03 SWEET;2;ainialinluthfiaini;2023-12-27;ga sesuai ekspetasi.! mungkin karena harganya juga;0;0;0;0;0;1;1;0;0;Asli
Stiker Label Open Me Thank You For Your Order 100 pcs;Variasi: BUNGA;1;akhmad0610;2023-12-25;barang tidak sesuai;0;0;0;0;1;1;1;0;1;Palsu
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;2;anassazk;2023-12-16;Bagus ,, cuman agak tidak nyaman di bibir;1;1;1;0;0;0;1;0;0;Asli
TWG Cleaning Mud Mask Mugwort Acne Clay Mask Salicylic Acid Anti Acne;Variasi: TWG MUDMASK;1;anggelaaaaaaaaaa;2023-12-25;di beli yang abu dikirim yang hijau makasi udah mutusin rezeki orang karna gaa sesuai sama yang dipesan customer kalo emmang kosong chat atau batalin gampang kan;0;0;0;0;0;0;0;0;0;Asli
BISA COD & 100% ORIGINAL - Pensil Alis Benang Hengsi Eyebrow Pencil Make Up Kosmetik Mata Hensi Korea Pencil Alis Tahan Air Dan Tahan Lama;Variasi: 09 DARK BROWN;2;anitasalsabillahasan;2023-12-18;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas;0;0;0;0;0;0;0;0;0;Asli
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;anwarrahmadi.773;2023-12-23;Tau barang lunak bgini gak di Paking.. Paking kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk;0;0;0;0;0;0;0;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;aputabuku;2023-12-21;Bagus BANGAT;1;1;1;1;1;0;1;0;0;Palsu
PAKET 2 PCS Youbuy Cream Anti Freckle & Youbuy Serum Whitening Mencerahkan Wajah;Variasi: 2 IN 1;1;asjasosojazaen;2023-12-19;Kata nya krim sma serum, tpi yg dtng cuma krim ny z. Gk amanah;0;0;0;0;0;0;1;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 06 GLITZY;1;auliabungajoraanjani;2023-12-26;warna nya tidak sesuai dengan yang saya pesan👎🏻;0;0;0;0;0;0;1;0;1;Asli
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;1;bluezterpunk;2023-12-21;Pesanan udah sampek sesuai pesanan tapi barang penyet semua, udah mintak packing di lasipi kardus biar aman malah di abaikan sama selleenya, gag recomended beli disini, gag bisa buat berlangganan payah.......;0;0;0;0;0;0;0;0;1;Asli
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;2;boskecil;2023-12-19;Trlalu lama menunggu.;0;0;0;1;1;1;1;0;0;Asli
Cindynal Moisturize Essence Eye Cream-Krim Mata Anti Kerut Cream Mata Panda Ampuh Menghilangkan Lingkaran hitam;Variasi: COKLAT;2;deicenicolaasdei;2023-12-16;Mf,barang yg sy pesan ko salah..tidak sesui dgn apa yg sy pesan..di gambrr beda banget;0;0;0;0;0;0;0;0;0;Asli
READY STOCK - LAMEILA NUDE EDITION Lip Glaze Lipstik Cair Lip Gloss Cair Pelembab Bibir 1041;Variasi: 02# SUNSET;2;delisairawan86;2023-12-25;Pengiriman lama belum dicoba;1;1;1;1;1;1;1;0;1;Palsu
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 06 GLITZY;2;dk797rh2u9;2023-12-24;Tapi kok kenapa warna nya ga sesuai kaya di foto;0;0;0;0;0;0;1;0;0;Asli
PROMO 1 BOX ISI 4 PCS - LIPSTIK HEY GIRL HENGFANG 4 IN 1 KOREA MATTE - HENG FANG LIPSTICK IMPORT;Variasi: 1 BOX ISI 4 PCS;1;erniamalia738;2023-12-31;tidak suka dengan bau atau rasanya;0;0;0;0;0;0;1;0;0;Asli
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;1;es5n90yson;2023-12-24;Isinya kaya sisa sisa yang nempel pinggir botol;0;0;0;0;0;0;1;0;0;Asli
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;1;f*****v;2023-12-29;ini gimana ya ko pas saya buka isinya kosong!! tapi sayang nya saat di buka tidak saya video pokoknya mengecewakan;0;0;1;0;0;0;0;0;0;Asli
(Bisa Cod) Sam Yun Wan Obat Penambah Nafsu Makan / Penaik Berat Badan / 100% Original Samyunwan / Suplemen Penambah Nafsu Makan / Kapsul Penambah Nafsu Makan;None;1;febriadipandawa;2023-12-30;Pesannya 3 datangnya 2 haddeh;0;0;0;0;0;0;1;0;0;Asli
YZKMSKIN Original Lumpur Vulkanik/Volcanic 250ML Mud Body Wash Vulcanic Sabun Pemutih Kulit Seluruh Tubuh Badan Moisturizer;Variasi: BELI 1 GRATIS 1;2;fwsjivrpdx;2023-12-17;Respon kurng ..pngiriman LM... Kualitas blom tau y.. saol nya BD dri yg biasanya AQ bli d tko sblh... Pecking jg ngk bagus.... Ada plastik kresek nya...;0;0;1;0;1;1;0;0;0;Asli
[BPOM APPROVED] CINDYNAL Cream Hexapeptide Anti Wrinkle Pelembab Kulit Kering - Krim Wajah Anti Kerut Memudarkan Keriput Dan Mengencangkan Kulit;None;1;h*****y;2023-12-26;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk;0;0;0;0;0;0;0;1;1;Asli
BPOM CINDYNAL Whitening Freckle Cream Remove Dark Spots Anti Penuaan Dini Penghilang Flek/Jerawat/Bintik Noda Hitam Komedo;Variasi: HEXAPEPTIDE(KERUTAN);1;h*****y;2023-12-26;Penjual saat live menjelaskan bilang bahwa kegunaan produk beda tetapi dikirim barang yg sama. Produk yg sama tp harga beda krn beda etalase produk;0;0;0;0;0;0;0;1;1;Asli
Lameila 5214 Pressed Powder Bedak Padat Waterproof Anti Air Glowing;Variasi: 03 NATURAL 5214;2;h_j1fxnp6u;2023-12-17;Bedak ancur pas smpe;0;0;0;0;0;0;1;0;0;Asli
Cream Pemutih Ketiak Baby Whitening Cream 100% Original;None;1;hasanbisri846;2023-12-25;Pesen apa yang dikirim apa kocak ni toko ! Produk aja number one tapi kejujuran zonkk..;0;0;0;0;0;0;0;0;0;Asli
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;hie8jv1l90;2023-12-25;Tidak sesuai iklan;0;0;0;1;0;1;1;0;1;Palsu
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;2;ihsan19091998;2023-12-18;Udah pake seminggu lebih blm ada perubahan Kasih bintang 2 dulu;0;0;0;0;0;0;0;0;0;Asli
BPOM CINDYNAL Aloevera Gel 92% Pelembab Wajah Glowing / Peremajaan Kulit IMAGES Aloe Vera Soothing Gel;Variasi: IMAGES 220ML;2;iisfitriayu563;2023-12-30;Bagus banget;1;1;1;1;1;0;1;0;1;Palsu
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;1;istikadwikurnia009;2023-12-26;ga ada isi nya bjr cuma kardus hahahhaha gimana sih;0;0;0;0;0;0;1;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;2;isynamaulida;2023-12-22;beli no 5 tp knp warna nya kaya no 2 ya?;0;0;0;0;0;0;1;0;0;Asli
TWG Vitamin Rambut Rontok Korean Perfect Hair Repair Serum Care Essential Oil 70 ML;Variasi: DENGAN BOX;1;jneyinesa;2023-12-27;Padhal pesan 3 lengkap tapi yg datang hanya 2 sampo nya kmna padhal udh chat juga supaya teliti sblm ngirim Kecewa ini tentang kejujuran dan ketelitian klo jualan emg mau untung jgn posting dpt 3;0;0;0;0;0;0;0;0;0;Asli
BISA COD - Lameila Eyeshadow 4 Warna (New) Kombinasi Glitter Tahan Lama 5086;Variasi: 01 PEARL;1;kbx8r_rzok;2023-12-21;Beli nya apa dikirim nya apa;0;0;0;0;0;0;1;0;1;Asli
LAMEILA SVMY 3088 Sunscreen Cream Pelindung Sinar Matahari/Sunblock;None;2;khailacantikhaayu;2023-12-25;Kenapa di aku muka jadi beruntusan ya...... Apa karena mukaku sensitif;0;0;0;1;0;0;0;0;0;Asli
PROMO - Hengfang Foundation/Bb Cream Anti Air Tahan Lama Untuk Mencerahkan Wajah;Variasi: 1#IVORY;2;kurniaaadheeputriiaani;2023-12-16;Saking senang nya paket dtg ..ku buka gak divideo unboxing...Kecewa bangeettt 😠pesan 2 dtg 1 gak teliti bangeettt toko nya ...harus ikhlass😭😭😭;0;0;1;0;0;0;0;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;1;l*****1;2023-12-29;bau nya ga enak, kaya bau ee;0;0;0;0;0;0;1;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;l*****k;2023-12-30;Alhamdulillah paketnya udh sampai, sayang sekali kurang wangi aja;0;0;0;0;0;0;0;0;0;Asli
[BPOM APPROVED] Pelurus Rambut Tanpa Catok Cindynal Hair Mask Smooth And Moisten Hair Film No Steaming / Masker Rambut Creambath Hair Mask;Variasi: CINDYNAL HAIRMASK;2;liskilumbantobing_88;2023-12-17;Biasa aja;1;0;1;1;1;1;1;0;1;Palsu
PAKET Alis 4 IN 1 Eyebrow Powder Stamp IBCCCNDC + Cetakan Alis Tali 12 Model + Concealer + Pisau Alis;Variasi: 01 LIGHT BROWN,PAKET ALIS 4 IN 1;1;lizliz14;2023-12-27;Ini ga salah light brown warnanya gelap begini,? spt warna hitam ?tdk sesuai expentasi;0;0;0;0;0;0;0;0;0;Asli
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;malonlinestore;2023-12-25;Ini ga ampuh sama sekali... Ga kayak di toko sebelah... Pelanggan saya jadi kecewa 🤦 Pengemasan bener bener lama lagi 🥹;0;0;1;1;0;1;0;0;0;Asli
TERMURAH Bundling Paket [3in1] Ibcccndc Eyebrow Powder Stamp Cindynal / Cetakan Alis Instan Bedak Stempel Tali Titik 3 Ada 12 Pcs Bentuk Alis + Concealer Penutup;Variasi: PAKET 3 IN 1,02 NATURAL BROWN;2;meizy_sari;2023-12-15;Pensil alis power nya kayak yang engk adaan kosong udah di oles oles juga engk keluar;0;0;0;0;0;0;0;0;0;Asli
BPOM - Ampuh 500ml Shampo Penumbuh Rambut Cepat Ginger Sampo Jahe Herbal Anti Botak Rontok Perawatan Hair Care Treatment;Variasi: SHAMPO HERBAL;1;mufafa360;2023-12-28;apalah jir, ga mempan di guaa udh beli 2 kali abis tetep aee;0;0;0;0;0;0;1;0;0;Asli
