Product Name;Variations;Rating;Username;Date;Review;Untruthful Opinion Pelabel 1;Untruthful Opinion Pelabel 2;Untruthful Opinion Pelabel 3;Non-Reviews Pelabel 1;Non-Reviews Pelabel 2;Non-Reviews Pelabel 3;Review Length;Burstiness;Maximum Content Similarity;Label Final
Kikir Kuku Kaca + Box / Pengkilat Kuku Instant Tanpa Ke Salon Glass Nail Polish File;Variasi: KIKIR KACA + BOX;2;0tff36y8l3;2023-12-19;Lumayan;1;1;1;1;1;1;1;0;1;Palsu
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;2;a*****a;2023-12-31;kirain vaseline, lupa baca nama. trnyta cindynal wkk;1;1;1;1;1;1;1;0;0;Palsu
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;a9qd2fkrqr;2023-12-31;Ok barang sampe;1;1;1;1;1;1;1;0;0;Palsu
CINDYNAL Black Mask BPOM Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;2;adingsurajat87;2023-12-14;Belum dicoba;1;1;1;1;1;1;1;0;1;Palsu
Lameila 1002 Colour Geometry Face Stick Contour Duo Cocealer 109 Stick;Variasi: 02 IVORY;2;adisupriatnaadi;2023-12-30;Gak amanah banget yg di pesen apa yg datang apa 😒😒;0;0;0;0;0;0;1;0;0;Asli
Stiker Label Open Me Thank You For Your Order 100 pcs;Variasi: BUNGA;1;akhmad0610;2023-12-25;barang tidak sesuai;0;0;0;0;1;1;1;0;1;Palsu
BISA COD & 100% ORIGINAL - Pensil Alis Benang Hengsi Eyebrow Pencil Make Up Kosmetik Mata Hensi Korea Pencil Alis Tahan Air Dan Tahan Lama;Variasi: 09 DARK BROWN;2;anitasalsabillahasan;2023-12-18;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas;0;0;0;0;0;0;0;0;0;Asli
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;anwarrahmadi.773;2023-12-23;Tau barang lunak bgini gak di Paking.. Paking kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk;0;0;0;0;0;0;0;0;0;Asli
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;aputabuku;2023-12-21;Bagus BANGAT;1;1;1;1;1;0;1;0;0;Palsu
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;2;boskecil;2023-12-19;Trlalu lama menunggu.;0;0;0;1;1;1;1;0;0;Asli
