Product Name;Variations;Rating;Username;Date;Review;Untruthful Opinion Pelabel 1;Untruthful Opinion Pelabel 2;Untruthful Opinion Pelabel 3;Non-Reviews Pelabel 1;Non-Reviews Pelabel 2;Non-Reviews Pelabel 3;Review Length;Burstiness;Maximum Content Similarity;Label Manual;Translated_Review;Tokenized_Review
Kikir Kuku Kaca + Box / Pengkilat Kuku Instant Tanpa Ke Salon Glass Nail Polish File;Variasi: KIKIR KACA + BOX;2;0tff36y8l3;2023-12-19;Lumayan;1;1;1;1;1;1;1;0;1;Palsu;Lumayan;['lumayan']
CINDYNAL Lip Balm Rosy Moisturizing Pelembab dan Pemerah Bibir Permanen Alami;Variasi: ROSY;2;a*****a;2023-12-31;kirain vaseline, lupa baca nama. trnyta cindynal wkk;1;1;1;1;1;1;1;0;0;Palsu;kirain vaseline, lupa baca nama. trnyta cindynal wkk;['vaseline', 'lupa', 'baca', 'nama', 'cindynal']
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;a9qd2fkrqr;2023-12-31;Ok barang sampe;1;1;1;1;1;1;1;0;0;Palsu;Ok barang sampe;['oke', 'barang']
CINDYNAL Black Mask BPOM Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;2;adingsurajat87;2023-12-14;Belum dicoba;1;1;1;1;1;1;1;0;1;Palsu;Belum dicoba;['belum', 'coba']
Lameila 1002 Colour Geometry Face Stick Contour Duo Cocealer 109 Stick;Variasi: 02 IVORY;2;adisupriatnaadi;2023-12-30;Gak amanah banget yg di pesen apa yg datang apa 😒😒;0;0;0;0;0;0;1;0;0;Asli;Gak amanah banget yg di pesen apa yg datang apa 😒😒;['tidak', 'amanah', 'banget', 'pesan']
Stiker Label Open Me Thank You For Your Order 100 pcs;Variasi: BUNGA;1;akhmad0610;2023-12-25;barang tidak sesuai;0;0;0;0;1;1;1;0;1;Palsu;barang tidak sesuai;['barang', 'tidak', 'sesuai']
BISA COD & 100% ORIGINAL - Pensil Alis Benang Hengsi Eyebrow Pencil Make Up Kosmetik Mata Hensi Korea Pencil Alis Tahan Air Dan Tahan Lama;Variasi: 09 DARK BROWN;2;anitasalsabillahasan;2023-12-18;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas;0;0;0;0;0;0;0;0;0;Asli;Pensil alisnya bkn dibuat dati kayu tapi digulung pke kertas;['pensil', 'alis', 'bukan', 'kayu', 'gulung', 'pakai', 'kertas']
ZHANG PEI ZHEN - Racun Lalat 1 Box Isi 25Pcs TERMURAH;Variasi: Racun Lalat;2;anwarrahmadi.773;2023-12-23;Tau barang lunak bgini gak di Paking.. Paking kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk;0;0;0;0;0;0;0;0;0;Asli;Tau barang lunak bgini gak di Kemas.. Kemas kek biar pelanggan terima bagus,, Barang sampai sdh penyokkk;['barang', 'lunak', 'tidak', 'kemas', 'kemas', 'biar', 'langgan', 'terima', 'bagus', 'barang', 'penyok']
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;aputabuku;2023-12-21;Bagus BANGAT;1;1;1;1;1;0;1;0;0;Palsu;Bagus BANGAT;['bagus', 'banget']
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;2;boskecil;2023-12-19;Trlalu lama menunggu.;0;0;0;1;1;1;1;0;0;Asli;Trlalu lama menunggu.;['lama', 'tunggu']
READY STOCK - LAMEILA NUDE EDITION Lip Glaze Lipstik Cair Lip Gloss Cair Pelembab Bibir 1041;Variasi: 02# SUNSET;2;delisairawan86;2023-12-25;Pengiriman lama belum dicoba;1;1;1;1;1;1;1;0;1;Palsu;Pengiriman lama belum dicoba;['kirim', 'lama', 'belum', 'coba']
Cindynal Serum Bulu Mata dan Alis Eyelash Eyebrow Serum Penumbuh Bulu Mata Dan Menebalkan Alis Oilash;None;1;es5n90yson;2023-12-24;Isinya kaya sisa sisa yang nempel pinggir botol;0;0;0;0;0;0;1;0;0;Asli;Kandungannya kaya akan residu yang menempel di pinggir botol;['kandung', 'residu', 'tempel', 'pinggir', 'botol']
[BPOM] CINDYNAL SMOOTH AND MOISTEN HAIR MASK Film No Steaming / Pelurus Rambut Tanpa Catok Masker Rambut Creambath Korea;Variasi: CINDYNAL HAIRMASK;1;hie8jv1l90;2023-12-25;Tidak sesuai iklan;0;0;0;1;0;1;1;0;1;Palsu;Tidak sesuai iklan;['tidak', 'sesuai', 'iklan']
BPOM CINDYNAL Aloevera Gel 92% Pelembab Wajah Glowing / Peremajaan Kulit IMAGES Aloe Vera Soothing Gel;Variasi: IMAGES 220ML;2;iisfitriayu563;2023-12-30;Bagus banget;1;1;1;1;1;0;1;0;1;Palsu;Bagus banget;['bagus', 'banget']
TWG Vitamin Rambut Rontok Korean Perfect Hair Repair Serum Care Essential Oil 70 ML;Variasi: DENGAN BOX;1;jneyinesa;2023-12-27;Padhal pesan 3 lengkap tapi yg datang hanya 2 sampo nya kmna padhal udh chat juga supaya teliti sblm ngirim Kecewa ini tentang kejujuran dan ketelitian klo jualan emg mau untung jgn posting dpt 3;0;0;0;0;0;0;0;0;0;Asli;Padhal pesan 3 lengkap tapi yg datang hanya 2 sampo nya kmna padhal udh chat juga supaya teliti sblm ngirim Kecewa ini tentang kejujuran dan ketelitian klo jualan emg mau untung jgn diunggah dpt 3;['pesan', 'lengkap', 'sampo', 'chat', 'teliti', 'belum', 'kirim', 'kecewa', 'jujur', 'teliti', 'jual', 'untung', 'jangan', 'unggah']
